queue,who,vote_id,date,bill,theme,title,crs_lead,valence,plain_language_summary,coded_blind,notes
119th,incumbents,h-119-1-334,2025-12-12,hr-3668-119,INPUT_COSTS,Improving Interagency Coordination for Pipeline Reviews Act,"Improving Interagency Coordination for Pipeline Reviews Act This bill expedites the environmental review of certain natural gas pipeline projects or liquefied natural gas (LNG) import or export terminals for authorizations under the Natural Gas Act. Specifically, the bill makes the Federal Energy Regulatory Commission (FERC) the only lead agency for the purpose of coordinating the environmental review of such project",+1,,true,
119th,incumbents,h-119-1-342,2025-12-16,hr-3632-119,INPUT_COSTS,Power Plant Reliability Act of 2025,"Power Plant Reliability Act of 2025 This bill modifies the process that the Federal Energy Regulatory Commission (FERC) uses to determine, upon a complaint from a state commission, whether a public utility (i.e., power plant) must remain open because the retirement of the power plant will make the bulk power system unreliable, including by allowing transmission organizations to also file complaints with FERC. If FERC",+1,,true,
119th,incumbents,h-119-1-347,2025-12-17,hr-3616-119,INPUT_COSTS,Reliable Power Act,"Reliable Power Act This bill directs the electric reliability organization (i.e., the North American Electric Reliability Corporation) to conduct annual long-term assessments of the reliability of electric power in the bulk-power system. It also establishes a process for the Federal Energy Regulatory Commission (FERC) to review federal regulations before they are finalized if the electric reliability organization fin",+1,,true,
119th,incumbents,h-119-1-349,2025-12-17,hr-6703-119,HEALTH_COSTS,Lower Health Care Premiums for All Americans Act,,+1,,true,
119th,incumbents,h-119-1-360,2025-12-18,hr-845-119,REGULATORY_BURDEN,Pet and Livestock Protection Act,"Pet and Livestock Protection Act of 2025 This bill directs the Department of the Interior to remove protections for the gray wolf under the Endangered Species Act of 1973 (ESA). Specifically, the bill requires Interior to reissue the final rule titled Endangered and Threatened Wildlife and Plants; Removing the Gray Wolf (Canis lupus) From the List of Endangered and Threatened Wildlife and published on November 3, 202",+1,,true,
119th,incumbents,h-119-2-12,2026-01-09,hr-5184-119,INPUT_COSTS,Affordable HOMES Act,"Affordable Housing Over Mandating Efficiency Standards Act or the Affordable HOMES Act This bill rescinds Department of Energy (DOE) energy efficiency regulations applicable to manufactured housing and eliminates DOE’s authority to issue similar regulations. Specifically, the bill rescinds the DOE final rule titled Energy Conservation Program: Energy Conservation Standards for Manufactured Housing and published on Ma",+1,,true,
119th,incumbents,h-119-2-23,2026-01-13,hr-4593-119,INPUT_COSTS,SHOWER Act,"Saving Homeowners from Overregulation With Exceptional Rinsing Act or the SHOWER Act This bill provides statutory authority for a revised definition of showerhead for the purpose of federal water efficiency regulations. Specifically, the bill adopts the definition of showerhead established by the American Society of Mechanical Engineers (ASME). The bill also requires the Department of Energy (DOE) to revise existing",+1,,true,
119th,incumbents,h-119-2-31,2026-01-15,hr-2988-119,WORKFORCE,Protecting Prudent Investment of Retirement Savings Act,"Protecting Prudent Investment of Retirement Savings Act This bill modifies the requirements for fiduciaries of employer-sponsored retirement plans. First, the bill generally requires a plan fiduciary to make investment decisions based solely on pecuniary factors (i.e., factors that a fiduciary prudently determines are expected to have a material effect on the risk or return of an investment based on appropriate inves",+1,,true,
119th,incumbents,h-119-2-76,2026-02-24,hr-4626-119,INPUT_COSTS,Home Appliance Protection and Affordability Act,"Don’t Mess With My Home Appliances Act This bill modifies the process by which the Department of Energy (DOE) issues or revises energy conservation standards for consumer products such as household appliances, including by requiring DOE to consider additional factors related to the cost and availability of such products. First, the bill allows DOE to amend an energy conservation standard for a consumer product when n",+1,,true,
119th,incumbents,h-119-2-78,2026-02-25,hr-4758-119,INPUT_COSTS,Homeowner Energy Freedom Act,"Homeowner Energy Freedom Act This bill repeals the Department of Energy's (1) high-efficiency electric home rebate program for certain electrification projects in low- or moderate-income households, (2) state-based home energy efficiency contractor training grants, and (3) assistance for states and local governments to adopt specified building energy codes. It also rescinds any unobligated balances available for the",+1,,true,
119th,incumbents,h-119-2-121,2026-04-16,hres-1156-119,TAX_BURDEN,Expressing support for tax policies that support working families.,This resolution expresses support for tax policies that support working families and recognizes the tax relief enacted as part of the 2025 reconciliation act.,+1,,true,
119th,incumbents,h-119-2-134,2026-04-22,hr-4690-119,INPUT_COSTS,Reliable Federal Infrastructure Act,"Reliable Federal Infrastructure Act This bill repeals certain energy efficiency performance standards for new federal buildings and federal buildings undergoing major renovations. Specifically, the bill repeals the performance standards that phase out fossil fuel use in such buildings by FY2030. The bill directs the Department of Energy to implement the standards as though such phase-out requirements had never taken",+1,,true,
119th,incumbents,h-119-2-137,2026-04-23,hr-5587-119,INPUT_COSTS,HEATS Act,"Harnessing Energy At Thermal Sources Act or the HEATS Act This bill exempts certain geothermal activities on state and private lands (except Indian lands) from drilling permit requirements as well as environmental and historic preservation review requirements. First, the bill prohibits the Department of the Interior from requiring an operator to obtain a drilling permit under the Geothermal Steam Act of 1970 for any",+1,,true,
119th,incumbents,h-119-2-198,2026-06-03,hr-7726-119,WORKFORCE,Stop Child Care Scams Act of 2026,"No Funds for Repeat Child Care Violations Act of 2026 This bill subjects states to additional sanctions for improperly using funds under the Child Care and Development Block Grant program. The program provides grants to states to support child care programs for low-income working families. Specifically, if the Office of the Administration for Children and Families (ACF) finds that a state has failed to comply substan",+1,,true,
historical,Luria,h-116-2-51,2020-02-06,hres-826-116,HEALTH_COSTS,Expressing disapproval of the Trump administration’s harmful actions towards Medicaid,"This resolution expresses the sense of the House of Representatives that the Centers for Medicare & Medicaid Services (CMS) should withdraw recent guidance regarding the approval of block grants under Medicaid demonstration waivers. On January 30, 2020, the CMS issued guidance allowing states to apply for capped block grants through Medicaid demonstration waivers, particularly in order to cover services for the Medic",+1,,true,
historical,Luria,h-117-2-102,2022-03-31,hr-6833-117,HEALTH_COSTS,Affordable Insulin Now Act,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023 This act provides continuing FY2023 appropriations to federal agencies through December 16, 2022, provides supplemental appropriations for assistance to Ukraine, and establishes a compensation program for victims of the Hermit's Peak/Calf Canyon fire in New Mexico. The act also extends several expiring programs and authorities. (Unless otherw",+1,,true,
historical,Luria,h-117-2-476,2022-09-30,hr-6833-117,HEALTH_COSTS,Affordable Insulin Now Act,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023 This act provides continuing FY2023 appropriations to federal agencies through December 16, 2022, provides supplemental appropriations for assistance to Ukraine, and establishes a compensation program for victims of the Hermit's Peak/Calf Canyon fire in New Mexico. The act also extends several expiring programs and authorities. (Unless otherw",+1,,true,
historical,Luria,h-117-1-14,2021-01-12,hres-21-117,INPUT_COSTS,Calling on Vice President Michael R. Pence to convene and mobilize the principal officers of the executive departments of the Cabinet to activate section 4 of the 25th Amendment to declare President Donald J. Trump incapable of executing the duties of his office and to immediately exercise powers as acting President,"This resolution calls upon Vice President Michael R. Pence (1) to immediately use his powers under section 4 of the Twenty-fifth Amendment to convene and mobilize the principal officers of the executive departments to declare that the President is unable to successfully discharge the duties and powers of his office, and (2) to transmit to the President pro tempore of the Senate and the Speaker of the House notice tha",+1,,true,
historical,Luria,h-117-1-185,2021-06-25,sjres-14-117,INPUT_COSTS,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to “Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review”","This joint resolution nullifies the Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review rule published by the Environmental Protection Agency on September 14, 2020. The rule finalized amendments to new source performance standards under the Clean Air Act for the oil and natural gas sector, such as an amendment that removed limitations on methane emissions from such secto",+1,,true,
historical,Luria,h-117-2-229,2022-05-19,hr-7688-117,INPUT_COSTS,Consumer Fuel Price Gouging Prevention Act,"Consumer Fuel Price Gouging Prevention Act This bill prohibits any person from selling, during a proclaimed energy emergency, a consumer fuel at a price that (1) is unconscionably excessive, and (2) indicates that the seller is exploiting the emergency to increase prices unreasonably. The President may issue a proclamation of such an emergency that specifies the consumer fuel and geographic area covered and how long",+1,,true,
historical,Luria,h-117-2-230,2022-05-19,hr-7688-117,INPUT_COSTS,Consumer Fuel Price Gouging Prevention Act,"Consumer Fuel Price Gouging Prevention Act This bill prohibits any person from selling, during a proclaimed energy emergency, a consumer fuel at a price that (1) is unconscionably excessive, and (2) indicates that the seller is exploiting the emergency to increase prices unreasonably. The President may issue a proclamation of such an emergency that specifies the consumer fuel and geographic area covered and how long",+1,,true,
historical,Luria,h-116-1-573,2019-10-22,hr-2513-116,REGULATORY_BURDEN,Corporate Transparency Act,This bill generally addresses the disclosure of corporate ownership and the prevention of money laundering and the financing of terrorism. DIVISION A--CORPORATE TRANSPARENCY ACT OF 2019 Corporate Transparency Act of 2019 This division requires certain new and existing small corporations and limited liability companies to disclose information about their beneficial owners. A beneficial owner is an individual who (1) e,+1,,true,
historical,Luria,h-116-1-574,2019-10-22,hr-2513-116,REGULATORY_BURDEN,Corporate Transparency Act,This bill generally addresses the disclosure of corporate ownership and the prevention of money laundering and the financing of terrorism. DIVISION A--CORPORATE TRANSPARENCY ACT OF 2019 Corporate Transparency Act of 2019 This division requires certain new and existing small corporations and limited liability companies to disclose information about their beneficial owners. A beneficial owner is an individual who (1) e,+1,,true,
historical,Luria,h-116-1-575,2019-10-22,hr-2513-116,REGULATORY_BURDEN,Corporate Transparency Act,This bill generally addresses the disclosure of corporate ownership and the prevention of money laundering and the financing of terrorism. DIVISION A--CORPORATE TRANSPARENCY ACT OF 2019 Corporate Transparency Act of 2019 This division requires certain new and existing small corporations and limited liability companies to disclose information about their beneficial owners. A beneficial owner is an individual who (1) e,+1,,true,
historical,Luria,h-116-1-577,2019-10-22,hr-2513-116,REGULATORY_BURDEN,Corporate Transparency Act,This bill generally addresses the disclosure of corporate ownership and the prevention of money laundering and the financing of terrorism. DIVISION A--CORPORATE TRANSPARENCY ACT OF 2019 Corporate Transparency Act of 2019 This division requires certain new and existing small corporations and limited liability companies to disclose information about their beneficial owners. A beneficial owner is an individual who (1) e,+1,,true,
historical,Luria,h-116-1-72,2019-02-08,hr-840-116,WORKFORCE,Veterans’ Access to Child Care Act,"Veterans' Access to Child Care Act This bill directs the Department of Veterans Affairs (VA) to provide child care assistance to an eligible veteran who is actively participating in treatment by attending appointments for any period that the veteran (1) receives covered health care services at a VA facility, and (2) is required to travel to and return from such facility for the receipt of such services. The bill defi",+1,,true,
historical,Luria,h-116-1-73,2019-02-08,hr-840-116,WORKFORCE,Veterans’ Access to Child Care Act,"Veterans' Access to Child Care Act This bill directs the Department of Veterans Affairs (VA) to provide child care assistance to an eligible veteran who is actively participating in treatment by attending appointments for any period that the veteran (1) receives covered health care services at a VA facility, and (2) is required to travel to and return from such facility for the receipt of such services. The bill defi",+1,,true,
historical,Luria,h-116-1-75,2019-02-08,hr-840-116,WORKFORCE,Veterans’ Access to Child Care Act,"Veterans' Access to Child Care Act This bill directs the Department of Veterans Affairs (VA) to provide child care assistance to an eligible veteran who is actively participating in treatment by attending appointments for any period that the veteran (1) receives covered health care services at a VA facility, and (2) is required to travel to and return from such facility for the receipt of such services. The bill defi",+1,,true,
historical,Luria,h-116-1-552,2019-09-26,hr-3525-116,WORKFORCE,U.S. Border Patrol Medical Screening Standards Act,"U.S. Border Patrol Medical Screening Standards Act The bill directs the Department of Homeland Security (DHS) to (1) research and report to Congress new approaches to improve procedures for providing medical screening of individuals interdicted by U.S. Customs and Border Protection between ports of entry and recommend any necessary corrective actions, and (2) establish an electronic health record system containing th",+1,,true,
historical,Perriello,h-111-1-225,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,Credit Cardholders’ Bill of Rights Act of 2009,"Credit Card Accountability Responsibility and Disclosure Act of 2009 or the Credit CARD Act of 2009 - (Sec. 2) Authorizes the Board of Governors of the Federal Reserve System (Federal Reserve Board) to issue rules and publish model forms to implement this Act. (Sec. 3) Makes this Act effective nine months after its enactment. Title I: Consumer Protection - (Sec. 101) Amends the Truth in Lending Act (TILA), with respe",+1,,true,
historical,Perriello,h-111-1-226,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,Credit Cardholders’ Bill of Rights Act of 2009,"Credit Card Accountability Responsibility and Disclosure Act of 2009 or the Credit CARD Act of 2009 - (Sec. 2) Authorizes the Board of Governors of the Federal Reserve System (Federal Reserve Board) to issue rules and publish model forms to implement this Act. (Sec. 3) Makes this Act effective nine months after its enactment. Title I: Consumer Protection - (Sec. 101) Amends the Truth in Lending Act (TILA), with respe",+1,,true,
historical,Perriello,h-111-1-228,2009-04-30,hr-627-111,ACCESS_TO_CAPITAL,Credit Cardholders’ Bill of Rights Act of 2009,"Credit Card Accountability Responsibility and Disclosure Act of 2009 or the Credit CARD Act of 2009 - (Sec. 2) Authorizes the Board of Governors of the Federal Reserve System (Federal Reserve Board) to issue rules and publish model forms to implement this Act. (Sec. 3) Makes this Act effective nine months after its enactment. Title I: Consumer Protection - (Sec. 101) Amends the Truth in Lending Act (TILA), with respe",+1,,true,
historical,Perriello,h-111-1-238,2009-05-07,hr-1728-111,ACCESS_TO_CAPITAL,Mortgage Reform and Anti-Predatory Lending Act,"Mortgage Reform and Anti-Predatory Lending Act - Title I: Residential Mortgage Loan Origination Standards - (Sec. 102) Amends the Truth in Lending Act (TILA) to prescribe fiduciary standards for originators of residential mortgages, including complete and timely written disclosure of: (1) the comparative costs and benefits of each residential mortgage loan product presented by the originator; (2) the nature of the or",+1,,true,
historical,Perriello,h-111-1-16,2009-01-14,hr-2-111,HEALTH_COSTS,Children’s Health Insurance Program Reauthorization Act of 2009,"Children's Health Insurance Program Reauthorization Act of 2009 - (Sec. 3) Makes the amendments made by this Act effective on April 1, 2009, regardless of whether final regulations have been promulgated to carry them out. Allows certain state plans under titles XIX (Medicaid) or XXI (State Children's Health Insurance Program) (SCHIP, referred to in this Act as CHIP) of the Social Security Act (SSA) that require state",+1,,true,
historical,Perriello,h-111-1-50,2009-02-04,hr-2-111,HEALTH_COSTS,Children’s Health Insurance Program Reauthorization Act of 2009,"Children's Health Insurance Program Reauthorization Act of 2009 - (Sec. 3) Makes the amendments made by this Act effective on April 1, 2009, regardless of whether final regulations have been promulgated to carry them out. Allows certain state plans under titles XIX (Medicaid) or XXI (State Children's Health Insurance Program) (SCHIP, referred to in this Act as CHIP) of the Social Security Act (SSA) that require state",+1,,true,
historical,Perriello,h-111-2-64,2010-02-24,hr-4626-111,HEALTH_COSTS,Health Insurance Industry Fair Competition Act,"Health Insurance Industry Fair Competition Act - Amends the McCarran-Ferguson Act to provide that nothing in that Act shall modify, impair, or supersede the operation of any of the antitrust laws with respect to the business of health insurance. Applies prohibitions against using unfair methods of competition to the business of health insurance without regard to whether such business is carried on for profit.",+1,,true,
historical,Perriello,h-111-2-165,2010-03-21,hr-3590-111,HEALTH_COSTS,Patient Protection and Affordable Care Act,"Patient Protection and Affordable Care Act - Title I: Quality, Affordable Health Care for All Americans - Subtitle A: Immediate Improvements in Health Care Coverage for All Americans - (Sec. 1001, as modified by Sec. 10101) Amends the Public Health Service Act to prohibit a health plan (""health plan&#148; under this subtitle excludes any &#147;grandfathered health plan&#148; as defined in section 1251) from establish",+1,,true,
historical,Perriello,h-111-1-953,2009-12-10,hr-4173-111,REGULATORY_BURDEN,Wall Street Reform and Consumer Protection Act of 2009,"Dodd-Frank Wall Street Reform and Consumer Protection Act - Title I: Financial Stability - Financial Stability Act of 2010 - Subtitle A: Financial Stability Oversight Council - (Sec. 111) Establishes the Financial Stability Oversight Council (Council), consisting of the heads of specified federal financial regulatory bodies and chaired by the Secretary of the Treasury. (Sec. 112) Requires the Council, among other thi",+1,,true,
historical,Perriello,h-111-1-954,2009-12-10,hr-4173-111,REGULATORY_BURDEN,Wall Street Reform and Consumer Protection Act of 2009,"Dodd-Frank Wall Street Reform and Consumer Protection Act - Title I: Financial Stability - Financial Stability Act of 2010 - Subtitle A: Financial Stability Oversight Council - (Sec. 111) Establishes the Financial Stability Oversight Council (Council), consisting of the heads of specified federal financial regulatory bodies and chaired by the Secretary of the Treasury. (Sec. 112) Requires the Council, among other thi",+1,,true,
historical,Perriello,h-111-1-955,2009-12-10,hr-4173-111,REGULATORY_BURDEN,Wall Street Reform and Consumer Protection Act of 2009,"Dodd-Frank Wall Street Reform and Consumer Protection Act - Title I: Financial Stability - Financial Stability Act of 2010 - Subtitle A: Financial Stability Oversight Council - (Sec. 111) Establishes the Financial Stability Oversight Council (Council), consisting of the heads of specified federal financial regulatory bodies and chaired by the Secretary of the Treasury. (Sec. 112) Requires the Council, among other thi",+1,,true,
historical,Perriello,h-111-1-956,2009-12-10,hr-4173-111,REGULATORY_BURDEN,Wall Street Reform and Consumer Protection Act of 2009,"Dodd-Frank Wall Street Reform and Consumer Protection Act - Title I: Financial Stability - Financial Stability Act of 2010 - Subtitle A: Financial Stability Oversight Council - (Sec. 111) Establishes the Financial Stability Oversight Council (Council), consisting of the heads of specified federal financial regulatory bodies and chaired by the Secretary of the Treasury. (Sec. 112) Requires the Council, among other thi",+1,,true,
historical,Perriello,h-111-1-353,2009-06-17,hr-2847-111,TAX_BURDEN,Hiring Incentives to Restore Employment Act,"Hiring Incentives to Restore Employment Act - Title I: Incentives for Hiring and Retaining Unemployed Workers - (Sec. 101) Amends the Internal Revenue Code to: (1) exempt for-profit and nonprofit employers, including public institutions of higher education, from social security and railroad retirement taxes in 2010 (except for the first calendar quarter of such year) for new employees who are hired after February 3,",+1,,true,
historical,Perriello,h-111-1-354,2009-06-17,hr-2847-111,TAX_BURDEN,Hiring Incentives to Restore Employment Act,"Hiring Incentives to Restore Employment Act - Title I: Incentives for Hiring and Retaining Unemployed Workers - (Sec. 101) Amends the Internal Revenue Code to: (1) exempt for-profit and nonprofit employers, including public institutions of higher education, from social security and railroad retirement taxes in 2010 (except for the first calendar quarter of such year) for new employees who are hired after February 3,",+1,,true,
historical,Perriello,h-111-1-355,2009-06-17,hr-2847-111,TAX_BURDEN,Hiring Incentives to Restore Employment Act,"Hiring Incentives to Restore Employment Act - Title I: Incentives for Hiring and Retaining Unemployed Workers - (Sec. 101) Amends the Internal Revenue Code to: (1) exempt for-profit and nonprofit employers, including public institutions of higher education, from social security and railroad retirement taxes in 2010 (except for the first calendar quarter of such year) for new employees who are hired after February 3,",+1,,true,
historical,Perriello,h-111-1-356,2009-06-18,hr-2847-111,TAX_BURDEN,Hiring Incentives to Restore Employment Act,"Hiring Incentives to Restore Employment Act - Title I: Incentives for Hiring and Retaining Unemployed Workers - (Sec. 101) Amends the Internal Revenue Code to: (1) exempt for-profit and nonprofit employers, including public institutions of higher education, from social security and railroad retirement taxes in 2010 (except for the first calendar quarter of such year) for new employees who are hired after February 3,",+1,,true,
historical,Perriello,h-111-1-9,2009-01-09,hr-11-111,WORKFORCE,Lilly Ledbetter Fair Pay Act of 2009,"Title I: Lilly Ledbetter Fair Pay Act of 2009 - Lilly Ledbetter Fair Pay Act of 2009 - (Sec. 3) Amends the Civil Rights Act of 1964 to declare that an unlawful employment practice occurs when: (1) a discriminatory compensation decision or other practice is adopted; (2) an individual becomes subject to the decision or practice; or (3) an individual is affected by application of the decision or practice, including each",+1,,true,
